Name,Total Population,Total Worked from Home,Total With Public Assistance,Median Household Income,Median Rent,Year
Minnesota,5519952,167431,76600,65599,830,2016
Mississippi,2988726,27290,22180,41754,560,2016
Missouri,6093000,148097,40489,51746,606,2016
Montana,1042520,31581,8960,50027,655,2016
Nebraska,1907116,43025,12637,56927,633,2016
Nevada,2940058,57210,31279,55180,866,2016
New Hampshire,1334795,44098,11117,70936,913,2016
New Jersey,8944469,190604,67055,76126,1125,2016
New Mexico,2081015,44691,20105,46748,682,2016
New York,19745289,400213,243679,62909,1086,2016
North Carolina,10146788,249964,68924,50584,670,2016
North Dakota,757953,20795,5696,60656,709,2016
Ohio,11614373,234340,143206,52334,614,2016
Oklahoma,3923561,74061,41319,49176,590,2016
Oregon,4093465,125646,56630,57532,898,2016
Pennsylvania,12784227,289740,159489,56907,732,2016
Puerto Rico,3411307,24684,110493,20078,373,2016
Rhode Island,1056426,21754,14269,60596,838,2016
South Carolina,4961119,90439,27992,49501,653,2016
South Dakota,865454,23777,6763,54467,601,2016
Tennessee,6651194,139052,55387,48547,637,2016
Texas,27862596,618147,133764,56565,809,2016
Utah,3051217,87136,14516,65977,839,2016
Vermont,624594,22197,8870,57677,816,2016
Virginia,8411808,208849,52734,68114,981,2016
Washington,7288000,203095,86119,67106,999,2016
West Virginia,1831102,28911,18642,43385,521,2016
Wisconsin,5778709,137512,49273,56811,684,2016
Wyoming,585501,16478,4407,59882,718,2016
Alabama,4874747,68872,28979,48123,565,2017
Alaska,739795,15984,16857,73181,1085,2017
Arizona,7016270,193915,41519,56581,858,2017
Arkansas,3004279,47156,20326,45869,548,2017
California,39536653,1092887,418591,71805,1320,2017
Colorado,5607154,244103,43265,69117,1125,2017
Connecticut,3588184,91174,55629,74168,963,2017
Delaware,961939,22227,6645,62852,935,2017
District of Columbia,693972,27667,9024,82372,1408,2017
Florida,20984400,574506,154501,52594,975,2017
Georgia,10429379,276462,55680,56183,782,2017
Hawaii,1427538,30644,13038,77765,1434,2017
Idaho,1716943,44006,18032,52225,698,2017
Illinois,12802023,298212,105149,62992,852,2017
Indiana,6666818,133909,37478,54181,633,2017
Iowa,3145711,81705,23968,58570,628,2017
Kansas,2913123,67715,18470,56422,636,2017
Kentucky,4454189,76840,29510,48375,571,2017
Louisiana,4684333,66894,32459,46145,678,2017
Maine,1335907,38973,13576,56277,720,2017
Maryland,6052177,149679,48852,80776,1193,2017
Massachusetts,6859819,186344,67876,77385,1084,2017
Michigan,9962311,191015,81807,54909,693,2017
Minnesota,5576606,171069,69084,68388,859,2017
Mississippi,2984100,27835,21985,43529,574,2017
Missouri,6113532,145557,44873,53578,628,2017
Montana,1050493,33242,8462,53386,667,2017
Nebraska,1920076,46876,13915,59970,657,2017
Nevada,2998039,60284,27934,58003,903,2017
New Hampshire,1342795,44508,11094,73381,953,2017
New Jersey,9005644,201670,60516,80088,1151,2017
New Mexico,2088070,44128,27071,46744,697,2017
New York,19849399,410013,246184,64894,1116,2017
North Carolina,10273419,291677,61416,52752,698,2017
North Dakota,755393,18763,8029,61843,693,2017
Ohio,11658609,232684,146008,54021,627,2017
Oklahoma,3930864,74603,39184,50051,620,2017
Oregon,4142776,143707,52698,60212,935,2017
Pennsylvania,12805537,300183,146108,59195,743,2017
Puerto Rico,3337177,21251,101310,19343,371,2017
Rhode Island,1059639,23654,17495,63870,832,2017
South Carolina,5024369,105422,26066,50570,665,2017
South Dakota,869666,25509,7131,56521,621,2017
Tennessee,6715984,150118,50885,51340,666,2017
Texas,28304596,662408,133929,59206,843,2017
Utah,3101833,101269,16677,68358,865,2017
Vermont,623657,22653,7922,57513,844,2017
Virginia,8470020,226076,58978,71535,1005,2017
Washington,7405743,225756,85200,70979,1087,2017
West Virginia,1815857,23521,16813,43469,523,2017
Wisconsin,5795483,145472,43792,59305,699,2017
Wyoming,579315,14773,2915,60434,703,2017
Alabama,4887871,71400,28725,49861,585,2018
Alaska,737438,18738,15789,74346,1077,2018
Arizona,7171646,214693,42488,59246,884,2018
Arkansas,3013825,48766,17241,47062,559,2018
California,39557045,1111955,411039,75277,1399,2018
Colorado,5695564,253520,40953,71953,1181,2018
Connecticut,3572665,101519,42796,76348,989,2018
Delaware,967171,25739,6571,64805,939,2018
District of Columbia,702455,23199,11020,85203,1421,2018
Florida,21299325,596696,169060,55462,1034,2018
Georgia,10519475,288952,44980,58756,823,2018
Hawaii,1420491,37933,11835,80212,1475,2018
Idaho,1754208,49341,15882,55583,728,2018
Illinois,12741080,318593,101495,65030,866,2018
Indiana,6691878,122285,37503,55746,659,2018
Iowa,3156145,81306,22885,59955,638,2018
Kansas,2911510,68255,16664,58218,649,2018
Kentucky,4468402,79764,29858,50247,601,2018
Louisiana,4659978,66932,37401,47905,692,2018
Maine,1338404,39636,16235,55602,747,2018
Maryland,6042718,158983,44754,83242,1217,2018
Massachusetts,6902149,188548,69434,79835,1140,2018
Michigan,9995915,189655,87616,56697,710,2018
Minnesota,5611179,177705,68820,70315,876,2018
Mississippi,2986530,32097,21481,44717,591,2018
Missouri,6126452,138342,42468,54478,639,2018
Montana,1062305,37575,10602,55328,707,2018
Nebraska,1929268,50265,13240,59566,679,2018
Nevada,3034392,59394,30438,58646,963,2018
New Hampshire,1356458,48986,12952,74991,959,2018
New Jersey,8908520,205170,53582,81740,1188,2018
New Mexico,2095428,44623,29144,47169,707,2018
New York,19542209,421076,249931,67844,1158,2018
North Carolina,10383620,292946,55002,53855,723,2018
North Dakota,760077,14897,7154,63837,739,2018
Ohio,11689442,243314,119262,56111,641,2018
Oklahoma,3943079,73647,42344,51924,631,2018
Oregon,4190713,148880,56775,63426,989,2018
Pennsylvania,12807060,315322,158875,60905,763,2018
Puerto Rico,3195153,22390,93133,20296,378,2018
Rhode Island,1057315,19221,20438,64340,851,2018
South Carolina,5084127,114984,26981,52306,692,2018
South Dakota,882235,27597,7902,56274,631,2018
Tennessee,6770010,146837,46980,52375,678,2018
Texas,28701845,693158,150811,60629,887,2018
Utah,3161105,104279,12289,71414,923,2018
Vermont,626299,24206,9148,60782,853,2018
Virginia,8517685,236778,62437,72577,1045,2018
Washington,7535591,238682,83904,74073,1184,2018
West Virginia,1805832,24893,21655,44097,546,2018
Wisconsin,5813568,142881,39519,60773,722,2018
Wyoming,577737,17692,2702,61584,724,2018
Alabama,4903185,72440,26859,51734,597,2019
Alaska,731545,15141,15209,75463,1095,2019
Arizona,7278717,248326,39144,62055,939,2019
Arkansas,3017804,46196,25286,48952,576,2019
California,39512223,1188387,363947,80440,1486,2019
Colorado,5758736,274765,43855,77127,1258,2019
Connecticut,3565287,100192,41771,78833,1011,2019
Delaware,973764,23953,10379,70176,959,2019
District of Columbia,705749,28402,8541,92266,1514,2019
Florida,21477737,688324,161947,59227,1097,2019
Georgia,10617423,344309,53739,61980,857,2019
Hawaii,1415872,33488,11723,83102,1527,2019
Idaho,1787065,61935,15161,60999,776,2019
Illinois,12671821,336647,95119,69187,889,2019
Indiana,6732219,139069,41370,57603,669,2019
Iowa,3155070,91511,22635,61691,660,2019
Kansas,2913314,74108,17528,62087,673,2019
Kentucky,4467673,84882,30522,52295,618,2019
Louisiana,4648794,79673,31485,51073,714,2019
Maine,1344212,42015,13613,58924,766,2019
Maryland,6045680,169488,48696,86738,1255,2019
Massachusetts,6892503,197999,74215,85843,1201,2019
Michigan,9986857,210233,85616,59584,740,2019
Minnesota,5639632,190795,66711,74593,929,2019
Mississippi,2976149,38426,20181,45792,598,2019
Missouri,6137428,147564,37378,57409,659,2019
Montana,1068778,33592,11233,57153,735,2019
Nebraska,1934408,46436,12041,63229,714,2019
Nevada,3080156,71251,29865,63276,1032,2019
New Hampshire,1359711,53022,11661,77933,1001,2019
New Jersey,8882190,217410,51517,85751,1228,2019
New Mexico,2096829,46093,28349,51945,737,2019
New York,19453561,452559,259459,72108,1190,2019
North Carolina,10488084,331256,59329,57341,755,2019
North Dakota,762062,14593,5610,64577,726,2019
Ohio,11689100,256463,112114,58642,662,2019
Oklahoma,3956971,78947,43967,54449,644,2019
Oregon,4217737,146587,51187,67058,1063,2019
Pennsylvania,12801989,333528,161961,63463,792,2019
Puerto Rico,3193694,24892,60639,20474,386,2019
Rhode Island,1059361,24228,15691,71169,900,2019
South Carolina,5148714,120845,21931,56227,729,2019
South Dakota,884659,27394,5849,59533,669,2019
Tennessee,6829174,179262,42428,56071,716,2019
Texas,28995881,783512,137099,64034,929,2019
Utah,3205958,117657,12938,75780,991,2019
Vermont,623989,22809,6758,63001,884,2019
Virginia,8535519,247137,55692,76456,1091,2019
Washington,7614893,242446,73558,78687,1230,2019
West Virginia,1792147,28665,21930,48850,551,2019
Wisconsin,5822434,150833,39179,64168,746,2019
Wyoming,578759,16007,4241,65003,722,2019
Alabama,5039877,208767,36911,53913,650,2021
Alaska,732673,35462,20065,77845,1119,2021
Arizona,7276316,680459,84549,69056,1099,2021
Arkansas,3025891,127385,21761,52528,625,2021
California,39237836,3812070,663026,84907,1619,2021
Colorado,5812069,710660,73850,82254,1378,2021
Connecticut,3605597,346355,45327,83771,1102,2021
Delaware,1003384,84627,9606,71091,1046,2021
District of Columbia,670050,170971,15853,90088,1586,2021
Florida,21781128,1640295,271680,63062,1202,2021
Georgia,10799566,905886,96285,66559,970,2021
Hawaii,1441553,71700,26575,84857,1645,2021
Idaho,1900923,117907,27889,66474,906,2021
Illinois,12671469,1150557,171906,72205,966,2021
Indiana,6805985,379253,65579,62743,730,2021
Iowa,3193079,213306,34289,65600,704,2021
Kansas,2934582,197616,24451,64124,717,2021
Kentucky,4509394,224709,38527,55573,659,2021
Louisiana,4624047,163004,36392,52087,753,2021
Maine,1372247,117192,18738,64767,848,2021
Maryland,6165129,733177,81335,90203,1321,2021
Massachusetts,6984723,835999,120682,89645,1332,2021
Michigan,10050811,741749,150782,63498,805,2021
Minnesota,5707390,607924,92830,77720,1011,2021
Mississippi,2949965,75964,23275,48716,641,2021
Missouri,6168187,427964,54203,61847,707,2021
Montana,1104271,73422,13955,63249,786,2021
Nebraska,1963692,129497,15671,66817,761,2021
Nevada,3143991,182334,50252,66274,1163,2021
New Hampshire,1388992,141808,16400,88465,1141,2021
New Jersey,9267130,977514,104316,89296,1318,2021
New Mexico,2115877,133654,38154,53992,777,2021
New York,19835913,1771277,364156,74314,1274,2021
North Carolina,10551162,917620,93332,61972,850,2021
North Dakota,774948,35500,6485,66519,752,2021
Ohio,11780017,815549,151445,62262,716,2021
Oklahoma,3986639,184546,50595,55826,689,2021
Oregon,4246155,446322,84028,71562,1150,2021
Pennsylvania,12964056,1134566,200583,68957,872,2021
Puerto Rico,3263584,78333,45261,22237,399,2021
Rhode Island,1095610,93424,24226,74008,992,2021
South Carolina,5190705,271555,37532,59318,802,2021
South Dakota,895376,49394,8244,66143,722,2021
Tennessee,6975218,446651,65692,59695,799,2021
Texas,29527941,2218292,307390,66963,1007,2021
Utah,3337975,327334,23658,79449,1096,2021
Vermont,645570,64227,11391,72431,981,2021
Virginia,8642274,950164,90842,80963,1169,2021
Washington,7738692,887544,122744,84247,1356,2021
West Virginia,1782959,72269,29373,51248,595,2021
Wisconsin,5895908,437295,60178,67125,792,2021
Wyoming,578803,25382,5313,65204,749,2021
Alabama,5074296,200280,33251,59674,693,2022
Alaska,733583,34007,16900,88121,1180,2022
Arizona,7359197,651679,53951,74568,1291,2022
Arkansas,3045637,115794,23462,55432,654,2022
California,39029342,3200937,515613,91551,1719,2022
Colorado,5839926,660865,53589,89302,1513,2022
Connecticut,3626205,290301,37719,88429,1158,2022
Delaware,1018396,74053,8611,82174,1109,2022
District of Columbia,671803,126259,12698,101027,1768,2022
Florida,22244823,1700894,185896,69303,1367,2022
Georgia,10912876,851917,70784,72837,1065,2022
Hawaii,1440196,66420,20554,92458,1629,2022
Idaho,1939033,119833,19628,72785,1003,2022
Illinois,12582032,979781,132315,76708,1008,2022
Indiana,6833037,344857,48632,66785,780,2022
Iowa,3200517,178965,21286,69588,741,2022
Kansas,2937150,175573,16578,68925,772,2022
Kentucky,4512310,212882,30101,59341,702,2022
Louisiana,4590241,165357,31301,55416,779,2022
Maine,1385340,107131,15330,69543,904,2022
Maryland,6164660,603184,60284,94991,1388,2022
Massachusetts,6981974,670281,92498,94488,1446,2022
Michigan,10034118,642736,103611,66986,865,2022
Minnesota,5717184,507903,73540,82338,1087,2022
Mississippi,2940057,69054,21958,52719,656,2022
Missouri,6177957,381408,43010,64811,757,2022
Montana,1122867,69493,9454,67631,871,2022
Nebraska,1967923,110093,17309,69597,826,2022
Nevada,3177772,183437,36511,72333,1307,2022
New Hampshire,1395231,127465,12533,89992,1231,2022
New Jersey,9261699,769532,91277,96346,1399,2022
New Mexico,2113344,112376,30358,59726,816,2022
New York,19677151,1359559,313297,79557,1354,2022
North Carolina,10698973,863191,68507,67481,945,2022
North Dakota,779261,31248,6137,71970,782,2022
Ohio,11756058,737375,102712,65720,765,2022
Oklahoma,4019800,172481,43401,59673,744,2022
Oregon,4240137,389714,62412,75657,1235,2022
Pennsylvania,12972008,957261,172176,71798,922,2022
Puerto Rico,3221789,66291,48087,24112,403,2022
Rhode Island,1093734,73836,15569,81854,1089,2022
South Carolina,5282634,280181,28699,64115,893,2022
South Dakota,909824,45490,7108,69728,747,2022
Tennessee,7051339,448447,50333,65254,884,2022
Texas,30029572,2097324,208913,72284,1117,2022
Utah,3380800,308258,15644,89168,1252,2022
Vermont,647064,55874,9208,73991,997,2022
Virginia,8683619,790559,72878,85873,1270,2022
Washington,7785786,786120,102880,91306,1495,2022
West Virginia,1775156,66215,26024,54329,606,2022
Wisconsin,5892539,387700,49955,70996,845,2022
Wyoming,581381,26152,4129,70042,783,2022
Alabama,5108468,199068,35210,62212,757,2023
Alaska,733406,32447,15829,86631,1242,2023
Arizona,7431344,605413,50481,77315,1438,2023
Arkansas,3067732,118321,16651,58700,721,2023
California,38965193,2735659,495531,95521,1820,2023
Colorado,5877610,625517,50881,92911,1645,2023
Connecticut,3617176,263726,39177,91665,1233,2023
Delaware,1031890,68206,10884,81361,1177,2023
District of Columbia,678972,104626,10150,108210,1806,2023
Florida,22610726,1674992,168537,73311,1553,2023
Georgia,11029227,804368,68489,74632,1193,2023
Hawaii,1435138,60516,16290,95322,1763,2023
Idaho,1964726,125042,17488,74942,1114,2023
Illinois,12549689,873962,121292,80306,1083,2023
Indiana,6862199,345488,46054,69477,846,2023
Iowa,3207004,170686,20602,71433,783,2023
Kansas,2940547,153455,16111,70333,817,2023
Kentucky,4526154,195337,31618,61118,745,2023
Louisiana,4573749,162468,20639,58229,816,2023
Maine,1395722,99517,18320,73733,1027,2023
Maryland,6180253,536198,51716,98678,1473,2023
Massachusetts,7001399,574881,97536,99858,1574,2023
Michigan,10037261,578862,101540,69183,920,2023
Minnesota,5737915,483816,63765,85086,1144,2023
Mississippi,2939690,80756,17219,54203,685,2023
Missouri,6196156,380356,39886,68545,823,2023
Montana,1132812,62994,7552,70804,960,2023
Nebraska,1978379,104413,12405,74590,874,2023
Nevada,3194176,178379,34472,76364,1425,2023
New Hampshire,1402054,121793,11016,96838,1324,2023
New Jersey,9290841,657325,72559,99781,1498,2023
New Mexico,2114371,101218,28160,62268,915,2023
New York,19571216,1169122,301068,82095,1406,2023
North Carolina,10835491,844999,69200,70804,1062,2023
North Dakota,783926,34217,5684,76525,832,2023
Ohio,11785935,676346,96054,67769,822,2023
Oklahoma,4053824,167475,40187,62138,802,2023
Oregon,4233358,363936,55825,80160,1325,2023
Pennsylvania,12961683,888609,170927,73824,987,2023
Puerto Rico,3205691,58738,37197,25621,425,2023
Rhode Island,1095962,64945,12763,84972,1169,2023
South Carolina,5373555,296230,23552,67804,972,2023
South Dakota,919318,45854,7396,71810,791,2023
Tennessee,7126489,436249,49625,67631,1001,2023
Texas,30503301,2021481,182176,75780,1221,2023
Utah,3417734,284109,16746,93421,1399,2023
Vermont,647464,55042,8926,81211,1085,2023
Virginia,8715698,731538,66115,89931,1390,2023
Washington,7812880,666883,105320,94605,1590,2023
West Virginia,1770071,62055,25250,55948,638,2023
Wisconsin,5910955,368616,46091,74631,913,2023
Wyoming,584057,28999,2890,72415,858,2023
Alabama,5157699,193754,28919,66659,829,2024
Alaska,740133,30477,11207,95665,1309,2024
Arizona,7582384,582289,58875,81486,1511,2024
Arkansas,3088354,119058,17707,62106,778,2024
California,39431263,2672106,512054,100149,1912,2024
Colorado,5957494,629420,54436,97113,1705,2024
Connecticut,3675069,250606,39802,96049,1332,2024
Delaware,1051917,64492,8714,87534,1334,2024
District of Columbia,702250,88726,16372,109707,1850,2024
Florida,23372215,1721372,179720,77735,1672,2024
Georgia,11180878,803593,68831,79991,1294,2024
Hawaii,1446146,63594,17144,100745,1797,2024
Idaho,2001619,120976,18051,81166,1222,2024
Illinois,12710158,857301,130764,83211,1159,2024
Indiana,6924275,323341,47101,71959,915,2024
Iowa,3241488,162777,22098,75501,833,2024
Kansas,2970606,153539,15705,75514,871,2024
Kentucky,4588372,197124,32296,64526,817,2024
Louisiana,4597740,163353,27636,60986,867,2024
Maine,1405012,103070,17877,76442,1068,2024
Maryland,6263220,504513,59156,102905,1557,2024
Massachusetts,7136171,556682,95822,104828,1665,2024
Michigan,10140459,539125,100177,72389,990,2024
Minnesota,5793151,443318,70969,87117,1181,2024
Mississippi,2943045,81270,23775,59127,772,2024
Missouri,6245466,360070,38160,71589,860,2024
Montana,1137233,66029,12218,75340,1053,2024
Nebraska,2005466,100914,16574,76376,946,2024
Nevada,3267467,179164,34532,81134,1509,2024
New Hampshire,1409032,120950,12425,99782,1407,2024
New Jersey,9500851,644549,73769,104294,1656,2024
New Mexico,2130256,97946,26318,67816,956,2024
New York,19867248,1124869,340388,85820,1487,2024
North Carolina,11046024,828181,77929,73958,1157,2024
North Dakota,796568,29953,6259,77871,894,2024
Ohio,11883304,687025,94805,72212,889,2024
Oklahoma,4095393,167486,43035,66148,842,2024
Oregon,4272371,354930,65420,85220,1424,2024
Pennsylvania,13078751,883654,179184,77545,1061,2024
Puerto Rico,3203295,70638,33138,27213,443,2024
Rhode Island,1112308,65520,16863,83504,1211,2024
South Carolina,5478831,316801,24543,72350,1088,2024
South Dakota,924669,38257,5994,76881,869,2024
Tennessee,7227750,441140,49437,71997,1083,2024
Texas,31290831,1956349,189767,79721,1294,2024
Utah,3503613,277963,18197,96658,1460,2024
Vermont,648493,54357,11681,82730,1171,2024
Virginia,8811195,703153,74203,92090,1467,2024
Washington,7958180,645514,105396,99389,1692,2024
West Virginia,1769979,66915,28744,60798,669,2024
Wisconsin,5960975,360127,44567,77488,990,2024
Wyoming,587618,28679,3784,75532,870,2024
